Athlete,Nation,Sport,First Medal Year,Last Medal Year,Games,Gender,Gold,Silver,Bronze,Total
Felix Gottwald,Austria,Nordic combined,2002,2010,Winter,M,3.0,1.0,3.0,7.0
Marja-Liisa Kirvesniemi,Finland,Cross-country skiing,1984,1994,Winter,F,3.0,0.0,4.0,7.0
Yelena Välbe,Unified Team  Russia,Cross-country skiing,1992,1998,Winter,F,3.0,0.0,4.0,7.0
Gustavo Marzi,Italy,Fencing,1928,1936,Summer,M,2.0,5.0,0.0,7.0
Maria Gorokhovskaya,Soviet Union,Gymnastics,1952,1952,Summer,F,2.0,5.0,0.0,7.0
Zoltán Halmay,Hungary,Swimming,1900,1908,Summer,M,2.0,4.0,1.0,7.0
Amanda Beard,United States,Swimming,1996,2004,Summer,F,2.0,4.0,1.0,7.0
Svetlana Khorkina,Russia,Gymnastics,1996,2004,Summer,F,2.0,4.0,1.0,7.0
Kirsty Coventry,Zimbabwe,Swimming,2004,2008,Summer,F,2.0,4.0,1.0,7.0
Miho Takagi,Japan,Speed skating,2018,2022,Winter,F,2.0,4.0,1.0,7.0
Ildikó Újlaky-Rejtő,Hungary,Fencing,1960,1976,Summer,F,2.0,3.0,2.0,7.0
Karin Janz,East Germany,Gymnastics,1968,1972,Summer,F,2.0,3.0,2.0,7.0
Pavel Lednyov,Soviet Union,Modern Pentathlon,1968,1980,Summer,M,2.0,2.0,3.0,7.0
Shannon Miller,United States,Gymnastics,1992,1996,Summer,F,2.0,2.0,3.0,7.0
Manuela Di Centa,Italy,Cross-country skiing,1992,1998,Winter,F,2.0,2.0,3.0,7.0
Aliya Mustafina,Russia,Gymnastics,2012,2016,Summer,F,2.0,2.0,3.0,7.0
Andrea Ehrig-Mitscherlich,East Germany,Speed skating,1976,1988,Winter,F,1.0,5.0,1.0,7.0
Bogdan Musiol,East Germany  Germany,Bobsleigh,1980,1992,Summer,M,1.0,5.0,1.0,7.0
Dagmar Hase,Germany,Swimming,1992,1996,Summer,F,1.0,5.0,1.0,7.0
Vladimir Smirnov,Soviet Union  Kazakhstan,Cross-country skiing,1988,1994,Winter,M,1.0,4.0,2.0,7.0
Denis Ablyazin,Russia  ROC,Gymnastics,2012,2020,Summer,M,1.0,4.0,2.0,7.0
Masao Takemoto,Japan,Gymnastics,1952,1960,Summer,M,1.0,3.0,3.0,7.0
Josef Stalder,Switzerland,Gymnastics,1948,1952,Summer,M,1.0,3.0,3.0,7.0
Penny Oleksiak,Canada,Swimming,2016,2020,Summer,F,1.0,2.0,4.0,7.0
Huang Xuechen,China,Synchronized Swimming,2008,2020,Summer,F,0.0,5.0,2.0,7.0
