Athlete,Nation,Sport,First Medal Year,Last Medal Year,Games,Gender,Gold,Silver,Bronze,Total
Konrad Frey,Germany,Gymnastics,1936,1936,Summer,M,3.0,1.0,2.0,6.0
Alfred Schwarzmann,Germany  Germany,Gymnastics,1936,1952,Summer,M,3.0,1.0,2.0,6.0
Leon Štukelj,Yugoslavia,Gymnastics,1924,1936,Summer,M,3.0,1.0,2.0,6.0
Oscar Swahn,Sweden,Shooting,1908,1920,Summer,M,3.0,1.0,2.0,6.0
Kim Rhode,United States,Shooting,1996,2016,Summer,F,3.0,1.0,2.0,6.0
Jackie Joyner-Kersee,United States,Athletics,1984,1996,Summer,F,3.0,1.0,2.0,6.0
Johan Grøttumsbråten,Norway,Cross-country skiing Nordic combined,1924,1932,Winter,M,3.0,1.0,2.0,6.0
Brendan Hansen,United States,Swimming,2004,2012,Summer,M,3.0,1.0,2.0,6.0
Charlotte Dujardin,Great Britain,Equestrian,2012,2020,Summer,F,3.0,1.0,2.0,6.0
Suzanne Schulting,Netherlands,Short track speed skating,2018,2022,Winter,F,3.0,1.0,2.0,6.0
Rüdiger Helm,East Germany,Canoeing,1976,1980,Summer,M,3.0,0.0,3.0,6.0
Angel Martino,United States,Swimming,1992,1996,Summer,F,3.0,0.0,3.0,6.0
Tirunesh Dibaba,Ethiopia,Athletics,2004,2016,Summer,F,3.0,0.0,3.0,6.0
Max Whitlock,Great Britain,Gymnastics,2012,2020,Summer,M,3.0,0.0,3.0,6.0
Michael Plumb,United States,Equestrian,1964,1984,Summer,M,2.0,4.0,0.0,6.0
Rita Kőbán,Hungary,Canoeing,1988,2000,Summer,F,2.0,3.0,1.0,6.0
Burton Downing,United States,Cycling,1904,1904,Summer,M,2.0,3.0,1.0,6.0
Georges Buchard,France,Fencing,1924,1936,Summer,M,2.0,3.0,1.0,6.0
Tamara Manina,Soviet Union,Gymnastics,1956,1964,Summer,F,2.0,3.0,1.0,6.0
Li Xiaoshuang,China,Gymnastics,1992,1996,Summer,M,2.0,3.0,1.0,6.0
Shuji Tsurumi,Japan,Gymnastics,1960,1964,Summer,M,2.0,3.0,1.0,6.0
Veronica Cochela,Romania  Romania,Rowing,1988,2000,Summer,F,2.0,3.0,1.0,6.0
Wang Yifu,China,Shooting,1984,2004,Summer,M,2.0,3.0,1.0,6.0
Albert Helgerud,Norway,Shooting,1908,1920,Summer,M,2.0,3.0,1.0,6.0
Michael Klim,Australia,Swimming,1996,2004,Summer,M,2.0,3.0,1.0,6.0
Sergei Tchepikov,Soviet Union  Unified Team  Russia,Biathlon,1988,2006,Winter,M,2.0,3.0,1.0,6.0
Wolfgang Hoppe,East Germany  Germany,Bobsleigh,1984,1994,Winter,M,2.0,3.0,1.0,6.0
Claudia Nystad,Germany,Cross-country skiing,2002,2014,Winter,F,2.0,3.0,1.0,6.0
Lee Seung-hoon,South Korea,Speed skating,2010,2022,Winter,M,2.0,3.0,1.0,6.0
Josef Neckermann,United Team of Germany  West Germany,Equestrian,1960,1972,Summer,M,2.0,2.0,2.0,6.0
Philippe Riboud,France,Fencing,1980,1988,Summer,M,2.0,2.0,2.0,6.0
Robert Garrett,United States,Athletics,1896,1900,Summer,M,2.0,2.0,2.0,6.0
Eugenio Monti,Italy,Bobsleigh,1956,1968,Winter,M,2.0,2.0,2.0,6.0
Mark Todd,New Zealand,Equestrian,1984,2012,Summer,M,2.0,1.0,3.0,6.0
Lavinia Miloșovici,Romania,Gymnastics,1992,1996,Summer,F,2.0,1.0,3.0,6.0
Daniela Hunger,East Germany  Germany,Swimming,1988,1992,Summer,F,2.0,1.0,3.0,6.0
Armin Zöggeler,Italy,Luge,1994,2014,Winter,M,2.0,1.0,3.0,6.0
Anna Meares,Australia,Cycling,2004,2016,Summer,F,2.0,1.0,3.0,6.0
Johan Olsson,Sweden,Cross-country skiing,2006,2014,Winter,M,2.0,1.0,3.0,6.0
Duncan Scott,Great Britain,Swimming,2016,2020,Summer,M,1.0,5.0,0.0,6.0
Hrihoriy Misyutin,Unified Team  Ukraine,Gymnastics,1992,1996,Summer,M,1.0,4.0,1.0,6.0
Kateřina Neumannová,Czech Republic,Cross-country skiing,1998,2006,Winter,F,1.0,4.0,1.0,6.0
Olga Tass,Hungary,Gymnastics,1948,1956,Summer,F,1.0,3.0,2.0,6.0
Bode Miller,United States,Alpine skiing,2002,2014,Winter,M,1.0,3.0,2.0,6.0
Raimondo D'Inzeo,Italy,Equestrian,1956,1972,Summer,M,1.0,2.0,3.0,6.0
Pavel Kolobkov,Soviet Union  Unified Team  Russia,Fencing,1988,2004,Summer,M,1.0,2.0,3.0,6.0
Cindy Klassen,Canada,Speed skating,2002,2006,Winter,F,1.0,2.0,3.0,6.0
Clara Hughes,Canada,Cycling Speed skating,1996,2010,Summer Winter,F,1.0,1.0,4.0,6.0
Mika Myllylä,Finland,Cross-country skiing,1994,1998,Winter,M,1.0,1.0,4.0,6.0
Anja Pärson,Sweden,Alpine skiing,2002,2010,Winter,F,1.0,1.0,4.0,6.0
Kyle Chalmers,Australia,Swimming,2016,2020,Summer,M,1.0,1.0,4.0,6.0
Andre De Grasse,Canada,Athletics,2016,2020,Summer,M,1.0,1.0,4.0,6.0
Daniel Revenu,France,Fencing,1964,1976,Summer,M,1.0,0.0,5.0,6.0
László Cseh,Hungary,Swimming,2004,2016,Summer,M,0.0,4.0,2.0,6.0
Frank Beaurepaire,Australasia  Australia,Swimming,1908,1924,Summer,M,0.0,3.0,3.0,6.0
Piero D'Inzeo,Italy,Equestrian,1956,1972,Summer,M,0.0,2.0,4.0,6.0
Roald Larsen,Norway,Speed skating,1924,1928,Winter,M,0.0,2.0,4.0,6.0
Rintje Ritsma,Netherlands,Speed skating,1994,2006,Winter,M,0.0,2.0,4.0,6.0
Dimitrij Ovtcharov,Germany,Table tennis,2008,2020,Summer,M,0.0,2.0,4.0,6.0
Harri Kirvesniemi,Finland,Cross-country skiing,1980,1998,Winter,M,0.0,0.0,6.0,6.0
