No.,Athlete,Nation,Sport,Years,Games,Gender,Gold,Silver,Bronze,Total
104,Svetlana Romashina,Russia  ROC,Synchronized swimming,2008–2020,Summer,F,7.0,0.0,0.0,7.0
104,Caeleb Dressel,United States,Swimming,2016–2020,Summer,M,7.0,0.0,0.0,7.0
106,Chris Hoy,Great Britain,Cycling,2000–2012,Summer,M,6.0,1.0,0.0,7.0
107,Natalie Geisenberger,Germany,Luge,2010–2022,Winter,F,6.0,0.0,1.0,7.0
107,Pál Kovács,Hungary,Fencing,1936–1960,Summer,M,6.0,0.0,1.0,7.0
109,Yukio Endō,Japan,Gymnastics,1960–1968,Summer,M,5.0,2.0,0.0,7.0
109,Aaron Peirsol,United States,Swimming,2000–2008,Summer,M,5.0,2.0,0.0,7.0
109,Martin Fourcade,France,Biathlon,2010–2018,Winter,M,5.0,2.0,0.0,7.0
112,Willis Augustus Lee,United States,Shooting,1920,Summer,M,5.0,1.0,1.0,7.0
112,Clas Thunberg,Finland,Speed skating,1924–1928,Winter,M,5.0,1.0,1.0,7.0
112,Hans Günter Winkler,United Team of Germany  West Germany,Equestrian,1956–1976,Summer,M,5.0,1.0,1.0,7.0
112,Tom Jager,United States,Swimming,1984–1992,Summer,M,5.0,1.0,1.0,7.0
112,Krisztina Egerszegi,Hungary,Swimming,1988–1996,Summer,F,5.0,1.0,1.0,7.0
112,Larisa Lazutina,Unified Team  Russia,Cross-country skiing,1992–1998,Winter,F,5.0,1.0,1.0,7.0
112,Dana Vollmer,United States,Swimming,2004–2016,Summer,F,5.0,1.0,1.0,7.0
112,Wu Minxia,China,Diving,2004–2016,Summer,F,5.0,1.0,1.0,7.0
112,Johannes Høsflot Klæbo,Norway,Cross-country skiing,2018–2022,Winter,M,5.0,1.0,1.0,7.0
121,Ivan Patzaichin,Romania,Canoeing,1968–1984,Summer,M,4.0,3.0,0.0,7.0
122,Einar Liberg,Norway,Shooting,1908–1924,Summer,M,4.0,2.0,1.0,7.0
122,Ivar Ballangrud,Norway,Speed skating,1928–1936,Winter,M,4.0,2.0,1.0,7.0
124,Charles Daniels,United States,Swimming,1904–1908,Summer,M,4.0,1.0,2.0,7.0
124,Lloyd Spooner,United States,Shooting,1920,Summer,M,4.0,1.0,2.0,7.0
124,Simone Biles,United States,Gymnastics,2016–2020,Summer,F,4.0,1.0,2.0,7.0
124,Kosuke Kitajima,Japan,Swimming,2004–2012,Summer,M,4.0,1.0,2.0,7.0
124,Libby Trickett,Australia,Swimming,2004–2012,Summer,F,4.0,1.0,2.0,7.0
129,Vilhelm Carlberg,Sweden,Shooting,1908–1924,Summer,M,3.0,4.0,0.0,7.0
129,Kōhei Uchimura,Japan,Gymnastics,2008–2016,Summer,M,3.0,4.0,0.0,7.0
131,Veikko Hakulinen,Finland,Cross-country skiing,1952–1960,Winter,M,3.0,3.0,1.0,7.0
131,Grant Hackett,Australia,Swimming,2000–2008,Summer,M,3.0,3.0,1.0,7.0
131,Kati Wilhelm,Germany,Biathlon,2002–2010,Winter,F,3.0,3.0,1.0,7.0
131,Emily Seebohm,Australia,Swimming,2008–2020,Summer,F,3.0,3.0,1.0,7.0
135,Eero Mäntyranta,Finland,Cross-country skiing,1960–1968,Winter,M,3.0,2.0,2.0,7.0
135,Irena Szewińska,Poland,Athletics,1964–1976,Summer,F,3.0,2.0,2.0,7.0
135,Agneta Andersson,Sweden,Canoeing,1984–1996,Summer,F,3.0,2.0,2.0,7.0
135,Pieter van den Hoogenband,Netherlands,Swimming,2000–2004,Summer,M,3.0,2.0,2.0,7.0
135,Martina Sáblíková,Czech Republic,Speed skating,2010–2022,Winter,F,3.0,2.0,2.0,7.0
135,Eric Frenzel,Germany,Nordic combined,2010–2022,Winter,M,3.0,2.0,2.0,7.0
135,Marte Olsbu Røiseland,Norway,Biathlon,2018–2022,Winter,F,3.0,2.0,2.0,7.0
142,Shirley Strickland,Australia,Athletics,1948–1956,Summer,F,3.0,1.0,3.0,7.0
142,Simona Amânar,Romania,Gymnastics,1996–2000,Summer,F,3.0,1.0,3.0,7.0
142,Felix Gottwald,Austria,Nordic combined,2002–2010,Winter,M,3.0,1.0,3.0,7.0
145,Marja-Liisa Kirvesniemi,Finland,Cross-country skiing,1984–1994,Winter,F,3.0,0.0,4.0,7.0
145,Yelena Välbe,Unified Team  Russia,Cross-country skiing,1992–1998,Winter,F,3.0,0.0,4.0,7.0
147,Gustavo Marzi,Italy,Fencing,1928–1936,Summer,M,2.0,5.0,0.0,7.0
147,Maria Gorokhovskaya,Soviet Union,Gymnastics,1952,Summer,F,2.0,5.0,0.0,7.0
149,Zoltán Halmay,Hungary,Swimming,1900–1908,Summer,M,2.0,4.0,1.0,7.0
149,Amanda Beard,United States,Swimming,1996–2004,Summer,F,2.0,4.0,1.0,7.0
149,Svetlana Khorkina,Russia,Gymnastics,1996–2004,Summer,F,2.0,4.0,1.0,7.0
149,Kirsty Coventry,Zimbabwe,Swimming,2004–2008,Summer,F,2.0,4.0,1.0,7.0
149,Miho Takagi,Japan,Speed skating,2018–2022,Winter,F,2.0,4.0,1.0,7.0
154,Ildikó Újlaky-Rejtő,Hungary,Fencing,1960–1976,Summer,F,2.0,3.0,2.0,7.0
154,Karin Janz,East Germany,Gymnastics,1968–1972,Summer,F,2.0,3.0,2.0,7.0
156,Pavel Lednyov,Soviet Union,Modern Pentathlon,1968–1980,Summer,M,2.0,2.0,3.0,7.0
156,Shannon Miller,United States,Gymnastics,1992–1996,Summer,F,2.0,2.0,3.0,7.0
156,Manuela Di Centa,Italy,Cross-country skiing,1992–1998,Winter,F,2.0,2.0,3.0,7.0
156,Aliya Mustafina,Russia,Gymnastics,2012–2016,Summer,F,2.0,2.0,3.0,7.0
160,Andrea Ehrig-Mitscherlich,East Germany,Speed skating,1976–1988,Winter,F,1.0,5.0,1.0,7.0
160,Bogdan Musiol,East Germany  Germany,Bobsleigh,1980-1992,Summer,M,1.0,5.0,1.0,7.0
160,Dagmar Hase,Germany,Swimming,1992–1996,Summer,F,1.0,5.0,1.0,7.0
163,Vladimir Smirnov,Soviet Union  Kazakhstan,Cross-country skiing,1988-1994,Winter,M,1.0,4.0,2.0,7.0
163,Denis Ablyazin,Russia  ROC,Gymnastics,2012-2020,Summer,M,1.0,4.0,2.0,7.0
165,Masao Takemoto,Japan,Gymnastics,1952-1960,Summer,M,1.0,3.0,3.0,7.0
165,Josef Stalder,Switzerland,Gymnastics,1948-1952,Summer,M,1.0,3.0,3.0,7.0
167,Penny Oleksiak,Canada,Swimming,2016-2020,Summer,F,1.0,2.0,4.0,7.0
168,Huang Xuechen,China,Synchronized Swimming,2008-2020,Summer,F,0.0,5.0,2.0,7.0
169,Rudolf Kárpáti,Hungary,Fencing,1948–1960,Summer,M,6.0,0.0,0.0,6.0
169,Nedo Nadi,Italy,Fencing,1912-1920,Summer,M,6.0,0.0,0.0,6.0
169,Kristin Otto,East Germany,Swimming,1988,Summer,F,6.0,0.0,0.0,6.0
169,Amy Van Dyken,United States,Swimming,1996–2000,Summer,F,6.0,0.0,0.0,6.0
169,Lidiya Skoblikova,Soviet Union,Speed skating,1960–1964,Winter,F,6.0,0.0,0.0,6.0
169,Tobias Arlt,Germany,Luge,2014-2022,Winter,M,6.0,0.0,0.0,6.0
169,Tobias Wendl,Germany,Luge,2014-2022,Winter,M,6.0,0.0,0.0,6.0
176,Nellie Kim,Soviet Union,Gymnastics,1976–1980,Summer,F,5.0,1.0,0.0,6.0
176,Anton Heida,United States,Gymnastics,1904,Summer,M,5.0,1.0,0.0,6.0
176,Ole Lilloe-Olsen,Norway,Shooting,1920-1924,Summer,M,5.0,1.0,0.0,6.0
176,Don Schollander,United States,Swimming,1964–1968,Summer,M,5.0,1.0,0.0,6.0
176,Thomas Alsgaard,Norway,Cross-country skiing,1994-2002,Winter,M,5.0,1.0,0.0,6.0
176,Laura Kenny,Great Britain,Cycling,2012-2020,Summer,F,5.0,1.0,0.0,6.0
176,Elaine Thompson-Herah,Jamaica,Athletics,2016-2020,Summer,F,5.0,1.0,0.0,6.0
183,Steve Redgrave,Great Britain,Rowing,1984-2000,Summer,M,5.0,0.0,1.0,6.0
183,Alfred Lane,United States,Shooting,1912-1920,Summer,M,5.0,0.0,1.0,6.0
183,Johnny Weissmuller,United States,Swimming Water polo,1924-1928,Summer,M,5.0,0.0,1.0,6.0
183,Bonnie Blair,United States,Speed skating,1988–1994,Winter,F,5.0,0.0,1.0,6.0
183,Georgeta Damian,Romania,Rowing,2000-2008,Summer,F,5.0,0.0,1.0,6.0
183,Zou Kai,China,Gymnastics,2008-2012,Summer,M,5.0,0.0,1.0,6.0
183,Lisa Carrington,New Zealand,Canoeing,2012-2020,Summer,F,5.0,0.0,1.0,6.0
183,Missy Franklin,United States,Swimming,2012-2016,Summer,F,5.0,0.0,1.0,6.0
191,Christian d'Oriola,France,Fencing,1948-1956,Summer,M,4.0,2.0,0.0,6.0
191,Lucien Gaudin,France,Fencing,1920-1928,Summer,M,4.0,2.0,0.0,6.0
191,Giuseppe Delfino,Italy,Fencing,1952-1964,Summer,M,4.0,2.0,0.0,6.0
191,Olga Korbut,Soviet Union,Gymnastics,1972-1976,Summer,F,4.0,2.0,0.0,6.0
191,Guo Jingjing,China,Diving,2000-2008,Summer,F,4.0,2.0,0.0,6.0
191,Janica Kostelić,Croatia,Alpine skiing,2002-2006,Winter,F,4.0,2.0,0.0,6.0
191,Kevin Kuske,Germany,Bobsleigh,2002-2018,Winter,M,4.0,2.0,0.0,6.0
191,Jin Jong-oh,South Korea,Shooting,2004-2016,Summer,M,4.0,2.0,0.0,6.0
191,Matt Grevers,United States,Swimming,2002-2012,Summer,M,4.0,2.0,0.0,6.0
191,Jørgen Graabak,Norway,Nordic combined,2014-2022,Winter,M,4.0,2.0,0.0,6.0
201,Kim Soo-nyung,South Korea,Archery,1988-2000,Summer,F,4.0,1.0,1.0,6.0
201,Leontien van Moorsel,Netherlands,Cycling,2000-2004,Summer,F,4.0,1.0,1.0,6.0
201,Elena Belova,Soviet Union,Fencing,1968-1980,Summer,F,4.0,1.0,1.0,6.0
201,Viktor Sidyak,Soviet Union,Fencing,1968-1980,Summer,M,4.0,1.0,1.0,6.0
201,Doina Ignat,Romania,Rowing,1992-2008,Summer,F,4.0,1.0,1.0,6.0
201,Murray Rose,Australia,Swimming,1956-1960,Summer,M,4.0,1.0,1.0,6.0
